DATE,WPU01130212
1/1/47,30.8
2/1/47,25.2
3/1/47,26.4
4/1/47,26.2
5/1/47,25.2
6/1/47,28.2
7/1/47,34.2
8/1/47,37.5
9/1/47,48.2
10/1/47,49
11/1/47,61.8
12/1/47,60.5
1/1/48,29.7
2/1/48,44.4
3/1/48,40.7
4/1/48,51.6
5/1/48,68.1
6/1/48,39.7
7/1/48,29.7
8/1/48,26.9
9/1/48,34.9
10/1/48,33.2
11/1/48,30.1
12/1/48,30.8
1/1/49,37
2/1/49,32.4
3/1/49,25.2
4/1/49,26.6
5/1/49,29.9
6/1/49,31.2
7/1/49,31.6
8/1/49,35.3
9/1/49,38
10/1/49,35.9
11/1/49,46.6
12/1/49,38.9
1/1/50,31.7
2/1/50,26.5
3/1/50,28.1
4/1/50,28.8
5/1/50,29.3
6/1/50,31.5
7/1/50,30.7
8/1/50,30.7
9/1/50,33.1
10/1/50,29.1
11/1/50,44.2
12/1/50,32.4
1/1/51,34.2
2/1/51,48.2
3/1/51,32.1
4/1/51,31.6
5/1/51,33.6
6/1/51,39
7/1/51,43.2
8/1/51,41.9
9/1/51,47.3
10/1/51,39.9
11/1/51,63.6
12/1/51,54.9
1/1/52,57.8
2/1/52,30
3/1/52,28.4
4/1/52,30
5/1/52,43.6
6/1/52,31.4
7/1/52,30.5
8/1/52,35.8
9/1/52,41.2
10/1/52,29.6
11/1/52,42.1
12/1/52,45.7
1/1/53,36.5
2/1/53,26
3/1/53,30.5
4/1/53,26.5
5/1/53,32.3
6/1/53,39
7/1/53,34.1
8/1/53,33.2
9/1/53,52
10/1/53,34.9
11/1/53,49.3
12/1/53,38.5
1/1/54,35.2
2/1/54,30.9
3/1/54,33.2
4/1/54,34.1
5/1/54,36.7
6/1/54,41.2
7/1/54,42.1
8/1/54,36.7
9/1/54,39.4
10/1/54,40.3
11/1/54,43
12/1/54,37.6
1/1/55,38.7
2/1/55,33.4
3/1/55,30.6
4/1/55,31.2
5/1/55,31.2
6/1/55,36.9
7/1/55,28.2
8/1/55,32
9/1/55,42.6
10/1/55,41.2
11/1/55,46.2
12/1/55,53.6
1/1/56,43.7
2/1/56,34.6
3/1/56,27.6
4/1/56,29
5/1/56,32
6/1/56,35.2
7/1/56,35.2
8/1/56,32
9/1/56,35.2
10/1/56,34.2
11/1/56,38.4
12/1/56,36.6
1/1/57,34.4
2/1/57,29.4
3/1/57,29.4
4/1/57,27.4
5/1/57,43
6/1/57,39.4
7/1/57,44.8
8/1/57,42.6
9/1/57,49
10/1/57,45.8
11/1/57,47.4
12/1/57,44.4
1/1/58,51.1
2/1/58,33.7
3/1/58,30.9
4/1/58,23.4
5/1/58,25.1
6/1/58,33.1
7/1/58,43.7
8/1/58,33.1
9/1/58,34.1
10/1/58,31.6
11/1/58,30.9
12/1/58,36.2
1/1/59,49
2/1/59,30.8
3/1/59,33.5
4/1/59,33.5
5/1/59,33.1
6/1/59,36.2
7/1/59,34.1
8/1/59,34.1
9/1/59,36.2
10/1/59,38.4
11/1/59,36.2
12/1/59,38.4
1/1/60,33.1
2/1/60,33.1
3/1/60,34.1
4/1/60,27.7
5/1/60,30.9
6/1/60,40.5
7/1/60,51.1
8/1/60,36.2
9/1/60,35.2
10/1/60,32
11/1/60,30.9
12/1/60,49
1/1/61,45.3
2/1/61,45.8
3/1/61,45.8
4/1/61,46.9
5/1/61,44.8
6/1/61,38.4
7/1/61,43.7
8/1/61,31.5
9/1/61,31.2
10/1/61,33.1
11/1/61,37.3
12/1/61,33.1
1/1/62,45.8
2/1/62,37.3
3/1/62,46.9
4/1/62,36.2
5/1/62,49
6/1/62,42.6
7/1/62,38.4
8/1/62,32
9/1/62,32
10/1/62,31.5
11/1/62,37.3
12/1/62,38.4
1/1/63,37.3
2/1/63,31.9
3/1/63,30.4
4/1/63,32.3
5/1/63,37.4
6/1/63,36.5
7/1/63,40.2
8/1/63,35.2
9/1/63,32.8
10/1/63,32.5
11/1/63,35.1
12/1/63,37.4
1/1/64,39.6
2/1/64,29.7
3/1/64,26
4/1/64,33.4
5/1/64,28.4
6/1/64,40
7/1/64,37.8
8/1/64,34.4
9/1/64,34.2
10/1/64,37.7
11/1/64,30
12/1/64,41.6
1/1/65,34.4
2/1/65,37.1
3/1/65,27.9
4/1/65,29.9
5/1/65,37.1
6/1/65,41.4
7/1/65,51.9
8/1/65,35.6
9/1/65,32.9
10/1/65,32.2
11/1/65,33.1
12/1/65,36.5
1/1/66,36.5
2/1/66,47.3
3/1/66,41.2
4/1/66,45.7
5/1/66,59
6/1/66,49.3
7/1/66,38.7
8/1/66,36.5
9/1/66,34.2
10/1/66,33
11/1/66,35
12/1/66,36.8
1/1/67,40
2/1/67,34
3/1/67,32
4/1/67,28.8
5/1/67,34
6/1/67,37.7
7/1/67,40.8
8/1/67,45.1
9/1/67,36.9
10/1/67,41.1
11/1/67,62.7
12/1/67,58.5
1/1/68,79.1
2/1/68,64.2
3/1/68,54.4
4/1/68,30.3
5/1/68,35.3
6/1/68,34
7/1/68,44.5
8/1/68,36.9
9/1/68,33.4
10/1/68,32.9
11/1/68,40.2
12/1/68,45
1/1/69,47
2/1/69,33.7
3/1/69,42.6
4/1/69,29.8
5/1/69,40.2
6/1/69,41.1
7/1/69,59.4
8/1/69,47
9/1/69,47
10/1/69,45.5
11/1/69,51.1
12/1/69,49.8
1/1/70,54.4
2/1/70,40.1
3/1/70,30.9
4/1/70,36.5
5/1/70,36.7
6/1/70,35.3
7/1/70,47
8/1/70,35.9
9/1/70,33.4
10/1/70,34
11/1/70,33.8
12/1/70,34.9
1/1/71,46.4
2/1/71,41.8
3/1/71,40.8
4/1/71,59.1
5/1/71,51.6
6/1/71,78.9
7/1/71,64.3
8/1/71,59.3
9/1/71,36.7
10/1/71,43.9
11/1/71,43.6
12/1/71,52.5
1/1/72,46.4
2/1/72,60.6
3/1/72,43.3
4/1/72,46.4
5/1/72,44.5
6/1/72,44.5
7/1/72,54.4
8/1/72,41.4
9/1/72,48.8
10/1/72,49.5
11/1/72,50.7
12/1/72,64.3
1/1/73,47.4
2/1/73,50.4
3/1/73,63.4
4/1/73,43.5
5/1/73,47.6
6/1/73,69.2
7/1/73,59.3
8/1/73,52.5
9/1/73,44.5
10/1/73,55
11/1/73,45.8
12/1/73,43.3
1/1/74,69.2
2/1/74,45.7
3/1/74,41.1
4/1/74,.
5/1/74,56.9
6/1/74,60.6
7/1/74,61.8
8/1/74,56.9
9/1/74,56.3
10/1/74,51.9
11/1/74,53.2
12/1/74,64.3
1/1/75,71.1
2/1/75,76.7
3/1/75,64.3
4/1/75,61.8
5/1/75,76
6/1/75,73
7/1/75,65.1
8/1/75,44.9
9/1/75,59.4
10/1/75,59.4
11/1/75,51.9
12/1/75,49.5
1/1/76,53.2
2/1/76,48.8
3/1/76,48.8
4/1/76,54
5/1/76,53.6
6/1/76,63.5
7/1/76,60
8/1/76,59.4
9/1/76,63.1
10/1/76,76.7
11/1/76,73.4
12/1/76,96.4
1/1/77,126.1
2/1/77,118.7
3/1/77,83.3
4/1/77,79.8
5/1/77,75.8
6/1/77,70.5
7/1/77,68.4
8/1/77,66.2
9/1/77,64.3
10/1/77,69.9
11/1/77,69.9
12/1/77,71.7
1/1/78,78
2/1/78,97.3
3/1/78,65.1
4/1/78,63.5
5/1/78,75
6/1/78,68.9
7/1/78,118.7
8/1/78,89.9
9/1/78,84.1
10/1/78,84.1
11/1/78,63.1
12/1/78,81.6
1/1/79,88.4
2/1/79,96.4
3/1/79,90.3
4/1/79,81.9
5/1/79,89
6/1/79,69.2
7/1/79,96.4
8/1/79,81.6
9/1/79,70.1
10/1/79,70.5
11/1/79,63.1
12/1/79,71.7
1/1/80,91.5
2/1/80,77.5
3/1/80,65.9
4/1/80,65.5
5/1/80,74.2
6/1/80,81.6
7/1/80,106.3
8/1/80,87.8
9/1/80,96.4
10/1/80,95.8
11/1/80,123.6
12/1/80,133.5
1/1/81,105.1
2/1/81,108.8
3/1/81,94.6
4/1/81,84.1
5/1/81,103.9
6/1/81,118.7
7/1/81,106.3
8/1/81,111.9
9/1/81,92.1
10/1/81,95.2
11/1/81,96.4
12/1/81,116.2
1/1/82,103.9
2/1/82,131.1
3/1/82,118.1
4/1/82,121.2
5/1/82,106.3
6/1/82,91.5
7/1/82,94
8/1/82,86.6
9/1/82,79.1
10/1/82,77.9
11/1/82,71.7
12/1/82,118.7
1/1/83,101.4
2/1/83,111.3
3/1/83,93.1
4/1/83,89
5/1/83,80.4
6/1/83,86.6
7/1/83,128.6
8/1/83,118.7
9/1/83,95.8
10/1/83,102.6
11/1/83,95.8
12/1/83,128.6
1/1/84,119.9
2/1/84,163.2
3/1/84,113.8
4/1/84,131.1
5/1/84,95.2
6/1/84,98.9
7/1/84,108.8
8/1/84,101.4
9/1/84,85.3
10/1/84,79.1
11/1/84,79.1
12/1/84,80.4
1/1/85,84.1
2/1/85,97.7
3/1/85,95.2
4/1/85,82.4
5/1/85,80.4
6/1/85,89
7/1/85,94
8/1/85,97.7
9/1/85,89
10/1/85,90.3
11/1/85,94
12/1/85,108.8
1/1/86,116.2
2/1/86,96.4
3/1/86,94
4/1/86,91.5
5/1/86,94
6/1/86,106.3
7/1/86,103.9
8/1/86,112.5
9/1/86,94
10/1/86,112.1
11/1/86,128.6
12/1/86,111.3
1/1/87,111.3
2/1/87,98.9
3/1/87,89
4/1/87,92.7
5/1/87,98.9
6/1/87,97.7
7/1/87,94
8/1/87,80.4
9/1/87,80.4
10/1/87,79.1
11/1/87,77.9
12/1/87,106.3
1/1/88,118.7
2/1/88,88.2
3/1/88,98.9
4/1/88,89
5/1/88,98.9
6/1/88,106.3
7/1/88,118.7
8/1/88,128.6
9/1/88,118.7
10/1/88,97.7
11/1/88,92.7
12/1/88,92.7
1/1/89,89
2/1/89,94
3/1/89,91.5
4/1/89,116.2
5/1/89,116.2
6/1/89,133.5
7/1/89,98.9
8/1/89,96.4
9/1/89,85.7
10/1/89,94
11/1/89,78.3
12/1/89,79.1
1/1/90,101.4
2/1/90,96.4
3/1/90,111.3
4/1/90,108.8
5/1/90,92.7
6/1/90,87.8
7/1/90,102.6
8/1/90,79.1
9/1/90,88.2
10/1/90,80.8
11/1/90,89
12/1/90,128.6
1/1/91,148.4
2/1/91,129.8
3/1/91,105.1
4/1/91,132.7
5/1/91,104.7
6/1/91,111.3
7/1/91,108.8
8/1/91,106.3
9/1/91,94
10/1/91,86.6
11/1/91,111.3
12/1/91,142.6
1/1/92,144.5
2/1/92,125.1
3/1/92,105.9
4/1/92,97.9
5/1/92,92.5
6/1/92,80.1
7/1/92,144.1
8/1/92,124.6
9/1/92,115.7
10/1/92,105.6
11/1/92,108.2
12/1/92,108.5
1/1/93,138.2
2/1/93,84.2
3/1/93,93.7
4/1/93,99
5/1/93,96.4
6/1/93,81.3
7/1/93,65
8/1/93,104.1
9/1/93,70.2
10/1/93,73.8
11/1/93,96.2
12/1/93,83.1
1/1/94,80.8
2/1/94,72.1
3/1/94,77.9
4/1/94,72.9
5/1/94,88.2
6/1/94,84.5
7/1/94,91.9
8/1/94,109.7
9/1/94,107.5
10/1/94,119.6
11/1/94,111
12/1/94,111
1/1/95,139.1
2/1/95,122
3/1/95,148.5
4/1/95,139.9
5/1/95,139.9
6/1/95,108.8
7/1/95,108.8
8/1/95,110.6
9/1/95,111.8
10/1/95,112.8
11/1/95,117.5
12/1/95,95.2
1/1/96,95.2
2/1/96,94.1
3/1/96,111.3
4/1/96,121.5
5/1/96,83.5
6/1/96,83.5
7/1/96,76
8/1/96,107.1
9/1/96,95.8
10/1/96,91
11/1/96,107
12/1/96,122.2
1/1/97,107
2/1/97,107
3/1/97,103.1
4/1/97,91.7
5/1/97,94.4
6/1/97,94.4
7/1/97,94.4
8/1/97,97.6
9/1/97,95.6
10/1/97,92.9
11/1/97,98.8
12/1/97,98.8
1/1/98,98.8
2/1/98,98.8
3/1/98,105.8
4/1/98,95.3
5/1/98,91.7
6/1/98,92.2
7/1/98,83.8
8/1/98,82.9
9/1/98,81.9
10/1/98,79.8
11/1/98,91.4
12/1/98,87.3
1/1/99,108.1
2/1/99,116.4
3/1/99,133
4/1/99,169.5
5/1/99,155.2
6/1/99,124.1
7/1/99,100.9
8/1/99,86.6
9/1/99,75.4
10/1/99,80.6
11/1/99,89.9
12/1/99,86
1/1/00,113.2
2/1/00,100.9
3/1/00,92.2
4/1/00,99.8
5/1/00,102.5
6/1/00,102.5
7/1/00,106.4
8/1/00,103.3
9/1/00,103.3
10/1/00,106.8
11/1/00,114.1
12/1/00,121.7
1/1/01,121.7
2/1/01,121.7
3/1/01,124.1
4/1/01,124.1
5/1/01,119.5
6/1/01,119.5
7/1/01,147.7
8/1/01,141.8
9/1/01,140.7
10/1/01,169.7
11/1/01,170.5
12/1/01,170.5
1/1/02,170.5
2/1/02,170.5
3/1/02,135
4/1/02,135
5/1/02,135.9
6/1/02,139.3
7/1/02,139.3
8/1/02,146.8
9/1/02,141.5
10/1/02,140.7
11/1/02,142
12/1/02,142
1/1/03,142
2/1/03,142
3/1/03,141.5
4/1/03,141.5
5/1/03,141.5
6/1/03,141.5
7/1/03,140.2
8/1/03,144.7
9/1/03,141.8
10/1/03,136.5
11/1/03,135.6
12/1/03,149.4
1/1/04,149.4
2/1/04,149.4
3/1/04,149.4
4/1/04,142.5
5/1/04,142.5
6/1/04,135.6
7/1/04,128.7
8/1/04,131.3
9/1/04,124.3
10/1/04,123.3
11/1/04,123.3
12/1/04,123.3
1/1/05,134.9
2/1/05,134.1
3/1/05,134.1
4/1/05,134.1
5/1/05,132.5
6/1/05,132.5
7/1/05,132.5
8/1/05,132.5
9/1/05,136.6
10/1/05,134.1
11/1/05,134.1
12/1/05,134.1
1/1/06,134.1
2/1/06,134.1
3/1/06,134.3
4/1/06,134.3
5/1/06,134.3
6/1/06,134.3
7/1/06,135
8/1/06,142.6
9/1/06,181.2
10/1/06,192.8
11/1/06,167.9
12/1/06,167.9
1/1/07,160.5
2/1/07,202.1
3/1/07,214.6
4/1/07,215.4
5/1/07,235.6
6/1/07,214
7/1/07,227.3
8/1/07,203.8
9/1/07,186.5
10/1/07,179.8
11/1/07,176.9
12/1/07,176.9
1/1/08,176.9
2/1/08,176.9
3/1/08,178.5
4/1/08,180
5/1/08,176.9
6/1/08,182.4
7/1/08,181.6
8/1/08,190.5
9/1/08,186.4
10/1/08,178.7
11/1/08,178.3
12/1/08,171.2
1/1/09,175.9
2/1/09,172.8
3/1/09,175.9
4/1/09,177.4
5/1/09,191.2
6/1/09,185.1
7/1/09,189
8/1/09,189.9
9/1/09,182.2
10/1/09,177.7
11/1/09,182.7
12/1/09,182.7
1/1/10,182.7
2/1/10,196.3
3/1/10,190.2
4/1/10,187.7
5/1/10,189.2
6/1/10,192.4
7/1/10,193.9
8/1/10,202.8
9/1/10,191.8
10/1/10,192.5
11/1/10,191.1
12/1/10,219.8
1/1/11,230.3
2/1/11,269.2
3/1/11,269.2
4/1/11,290.3
5/1/11,290.3
6/1/11,220.2
7/1/11,201.2
8/1/11,195.9
9/1/11,200
10/1/11,197.9
11/1/11,198.7
12/1/11,181.9
1/1/12,189
2/1/12,189
3/1/12,184.9
4/1/12,189.9
5/1/12,182.6
6/1/12,182.4
7/1/12,202.3
8/1/12,193.3
9/1/12,176.9
10/1/12,183
11/1/12,182.5
12/1/12,186.8
1/1/13,187
2/1/13,197.2
3/1/13,218.5
4/1/13,205.1
5/1/13,209.7
6/1/13,206
7/1/13,205.3
8/1/13,209.5
9/1/13,204.2
10/1/13,198.3
11/1/13,199.2
12/1/13,203.2
1/1/14,204
2/1/14,205.6
3/1/14,205.7
4/1/14,203.9
5/1/14,195.2
6/1/14,193.4
7/1/14,183.7
8/1/14,181.7
9/1/14,184.2
10/1/14,181.9
11/1/14,187.1
12/1/14,205.6
1/1/15,214.4
2/1/15,208.7
3/1/15,208.9
4/1/15,202.6
5/1/15,207.1
6/1/15,201.1
7/1/15,202.4
8/1/15,206
9/1/15,202.4
10/1/15,210.8
11/1/15,211.1
12/1/15,210.9
1/1/16,209.2
2/1/16,225.3
3/1/16,213.8
4/1/16,225.7
5/1/16,243.2
6/1/16,192.5
7/1/16,175.6
8/1/16,175.6
9/1/16,171.2
10/1/16,171.2
11/1/16,171.2
12/1/16,164.6
1/1/17,167.9
2/1/17,167.5
3/1/17,166.6
4/1/17,162.3
5/1/17,162.3
6/1/17,154.6
7/1/17,148.2
8/1/17,161.5
9/1/17,189.1
10/1/17,225
11/1/17,218.8
12/1/17,218.8
1/1/18,228.4
2/1/18,226
3/1/18,203.8
4/1/18,203.2
5/1/18,197.6
6/1/18,165.3
7/1/18,179.4
8/1/18,170.6
9/1/18,173.3
10/1/18,180.3
11/1/18,177.7
12/1/18,174.9
1/1/19,174.9
2/1/19,175.1
3/1/19,184.4
4/1/19,181.8
5/1/19,181.8
6/1/19,176.7
7/1/19,187.4
8/1/19,175.9
9/1/19,185.6
10/1/19,196.3
11/1/19,208.8
12/1/19,216.8
1/1/20,207.4
2/1/20,190.2
3/1/20,176.9
4/1/20,180.1
5/1/20,180.2
6/1/20,187.8
7/1/20,194.4
8/1/20,182.6
9/1/20,205.8
10/1/20,205.8
11/1/20,193.4
12/1/20,192.6
1/1/21,192.7
2/1/21,191.4
3/1/21,183.7
4/1/21,196.9
5/1/21,206.6
6/1/21,205.3
7/1/21,205.944
8/1/21,188.411
9/1/21,210.331
10/1/21,185.388
11/1/21,196.192
12/1/21,196.49
1/1/22,198.321
2/1/22,252.279
3/1/22,245.88
4/1/22,248.428
5/1/22,247.729
6/1/22,203.358
7/1/22,205.763
8/1/22,185.795
9/1/22,210.453
10/1/22,230.326
11/1/22,252.425
12/1/22,253.73
1/1/23,259.39
2/1/23,
3/1/23,
4/1/23,
5/1/23,
6/1/23,
7/1/23,
8/1/23,
9/1/23,
10/1/23,
11/1/23,
12/1/23,
1/1/24,
2/1/24,
3/1/24,
4/1/24,
5/1/24,
6/1/24,
7/1/24,
8/1/24,
9/1/24,
10/1/24,
11/1/24,
12/1/24,
1/1/25,
2/1/25,
3/1/25,
4/1/25,
5/1/25,
6/1/25,
7/1/25,
8/1/25,
9/1/25,
10/1/25,
11/1/25,
12/1/25,
1/1/26,
2/1/26,
3/1/26,
4/1/26,
5/1/26,
6/1/26,
7/1/26,
8/1/26,
9/1/26,
10/1/26,
11/1/26,
12/1/26,
1/1/27,
2/1/27,
3/1/27,
4/1/27,
5/1/27,
6/1/27,
7/1/27,
8/1/27,
9/1/27,
10/1/27,
11/1/27,
12/1/27,
1/1/28,
2/1/28,
3/1/28,
4/1/28,
5/1/28,
6/1/28,
7/1/28,
8/1/28,
9/1/28,
10/1/28,
11/1/28,
12/1/28,
1/1/29,
2/1/29,
3/1/29,
4/1/29,
5/1/29,
6/1/29,
7/1/29,
8/1/29,
9/1/29,
10/1/29,
11/1/29,
12/1/29,
1/1/30,
2/1/30,
3/1/30,